YEAR,MONTH,DAY,HOUR,LOAD
2004,1,6,22,9109.936201
2004,1,20,2,9822.877378
2004,1,14,16,8026.40679
2004,1,26,5,7649.936201
2004,1,5,16,7842.877378
2004,1,23,12,9099.347966
2004,1,31,14,9044.053848
2004,1,30,5,8518.759731
2004,1,30,24,9418.171495
2004,1,21,14,9835.818554
2004,1,1,9,6586.40679
2004,1,22,19,8055.671495
2004,1,21,23,8311.112672
2004,1,24,16,8436.40679
2004,1,10,12,9628.171495
2004,1,27,4,8107.58326
2004,1,18,16,6889.936201
2004,1,22,17,8740.818554
2004,1,29,24,8694.936201
2004,1,7,11,9884.053848
2004,1,19,11,6929.936201
2004,1,18,1,8246.995025
2004,1,25,4,7301.112672
2004,1,27,3,8872.877378
2004,1,15,7,6132.58326
2004,1,1,24,7585.230319
2004,1,30,9,7100.524437
2004,1,6,3,9111.112672
2004,1,2,20,6986.40679
2004,1,11,18,8130.018554
2004,1,27,1,9332.877378
2004,1,24,3,9465.230319
2004,1,13,21,7174.053848
2004,1,18,24,7907.58326
2004,1,18,15,6904.053848
2004,1,14,2,8749.936201
2004,1,14,15,8240.524437
2004,1,28,11,9271.647966
2004,1,25,20,8761.112672
2004,1,28,22,7978.171495
2004,1,25,13,6914.642084
2004,1,7,10,9717.58326
2004,1,13,19,7479.347966
2004,1,24,7,8366.40679
2004,1,31,2,9247.58326
2004,1,29,18,8735.671495
2004,1,13,14,9086.995025
2004,1,14,19,7681.700907
2004,1,25,8,6380.524437
2004,1,10,11,9473.465613
